field,head,article,
정치,[이슈+] 염동열·홍문종 부결… 권성동 의원에겐 득일까 실일까,"자유한국당 홍문종·염동열 의원의 체포동의안 부결 사태가 같은 당 권성동(사진) 의원의 체포동의안 통과 가능성을 높이고 있다. 전날 부결 사태로 비판여론이 들끓자 대국민 사과를 한 더불어민주당이 이번에야말로 ‘표 단속’을 확실하게 하겠다는 의지를 보이고 있다.강원랜드 채용비리 관련 수사단은 지난 19일 권 의원 구속영장을 청구했고, 서울중앙지법은 체포동의요구서를 21일 서울중앙지검에 송부했다. 국무회의 보고를 거쳐 국회가 체포동의안을 접수하면 이후 첫 본회의에 국회의장이 이를 보고하고, 24시간 이후 72시간 이내에 무기명 표결이 진행된다. 오는 24일에는 대통령 개헌안 표결을 위한 본회의가 있고, 28일에도 본회의가 예정돼 있다. 연기될 가능성도 배제할 수 없지만 국회 의사일정이 예정대로 진행되면 24일 본회의에서 권 의원 체포동의안이 보고되고 이르면 28일 표결이 이뤄질 것으로 보인다.20대 국회에서 처음 보고된 체포동의안이 연이어 부결돼 ‘제 식구 감싸기’란 비판이 거센 점을 감안하면 권 의원 체포동의안은 통과될 가능성이 높아졌다는 분석이다. 민주당은 ‘이탈표’를 확실하게 단속하겠다는 의지를 보였다. 강병원 원내대변인은 22일 통화에서 “우리 당에선 확실하게 표단속을 하겠다”며 “홍영표 원내대표가 대국민 사과까지 한 만큼 불체포 특권에 대한 국민 정서가 좋지 않다는 점을 의원들에게 확실히 주지시킬 생각”이라고 말했다. 민주당 의원(118명)이 전원 참석해 모두 찬성표를 던질 경우 전원 참석(288명)을 전제로 27표 안팎의 야당 찬성표만 확보하면 체포동의안은 통과된다. 정의당은 전날 부결 사태에 강한 유감 표명을 한 만큼 전원 찬성표를 던진다고 봤을 때 20명 안팎의 찬성표가 바른미래당과 민주평화당에서 확보되면 권 의원 체포동의안은 통과된다. 야당들도 홍, 염 의원 체포동의안 부결로 부담을 느낄 수밖에 없을 것으로 분석된다. 체포동의안이 부결된 자유한국당 염동열 의원(오른쪽)이 21일 서울 여의도 국회에서 열린 본회의 후 소집된 의원총회를 마친뒤 동료 의원들에게 감사의 인사를 하고 있고 권성동 의원이 이 모습을 지켜보고 있다.하지만 권 의원 체포동의안에도 상당수 반대표가 나올 가능성을 배제할 수 없다. 바른미래당 박주선 공동대표는 전날 표결 뒤 라디오방송에서 “아무리 큰 범죄라도 도주하거나 증거인멸할 염려가 없으면 구속을 못하는 것”이라며 “방탄국회라고 하는 것은 지나친 비판”이라고 반박했다. 평화당 장병완 원내대표도 “(부결 사태는) 어차피 5월 국회가 곧 끝나기 때문에 굳이 체포동의안까지 의결할 필요가 있느냐는 생각이었을 것”이라고 말했다.민주당은 이번 사태를 계기로 체포동의안 표결을 기명으로 하도록 하는 국회법 개정안 당론 발의를 추진하는 것으로 알려졌다.홍주형 기자 jhh@segye.com",
정치,"나경원 비서에게 폭언 들인 중학생 ""나 의원에게 사과받고 싶다"" 비서는 휴대폰 꺼놔","페이스북에 나경원 자유한국당 의원에 대한 비판조의 글을 올렸다 나 의원의 비서 박모씨로부터 폭언과 욕설을 들은 중학생 A군은 박씨의 사과를 거부했다.나 의원의 지역구인 서울 동작구민인 A군은 22일 페이스북(사진)에 “고소·고발하겠다고 겁박할 때는 언제고, 이 사과를 믿을 수 없고 받아들일 수 없다”고 밝혔다.이어 박씨의 사과글을 공유한 뒤 “여러분 이거 다 거짓말인 것 아시죠?”라며 “보좌관님이 전화하게 해주겠다더니 전화 오지 않았다”고 덧붙였다.A군은 “정말로 미안하다면 나 의원과 직접 면담을 통해 사과받고 싶다”고 밝힌 것으로 알려졌다.A군은 앞서 지난 12일 페이스북에 나 의원을 비판하는 글을 올렸다가 박씨로부터 폭언을 13분가량 들었다고 전했다.아울러 “서럽고 슬프고 힘들다”는 심경을 밝히기도 했다.박씨는 애초 페이스북(사진)에 “중학생에게 참교육을 했더니 찌라시 운영자가 통화 내용을다 유튜브에 올리겠다고 협박한다”며 ""노무현 일가 사수 기록 까보자""라고 글을 썼다가 녹취록 공개로 비난 여론이 커지자 “모든 사람들에게 큰 상처를 줬다”며 “변명의 여지가 없다”고 태도를 돌변했다.해당 녹취록에는 폭언과 더불어 김대중, 노무현 전 대통령과 문재인 대통령을 원색적으로 비난하는 내용도 담겨있어 사태를 키웠다.박씨는“깊게 뉘우치고 반성하겠다”고 사과한 뒤 사직서를 제출했다. 아울러 전화를 꺼놓아 나 의원실에서도 연락이 닿지 않는 것으로 알려졌다.뉴스팀 news@segye.com 사진=페이스북 캡처",
정치,"안철수 ""송인배, 문고리 권력 놓고 소환조사 응해야""","바른미래당 안철수 서울시장 후보는 22일 송인배 청와대 제1부속비서관이 지난해 대선 전에 댓글조작 혐의로 구속기소된 드루킹을 만난 사실이 알려진 것과 관련, ""문고리 권력을 놓고 소환조사에 응해야 한다""고 촉구했다.안 후보는 안국동 선거사무소에서 기자들과 만나 ""정권 실세인 더불어민주당 김경수 전 의원에 이어 문고리 권력의 1인자인 제1부속비서관이 연루된 사실이 드러났다""며 이같이 밝혔다. 안 후보는 ""송 비서관이 드루킹과 김 전 의원을 연결했다면 송 비서관에게 드루킹을 처음 소개해준 사람도 곧 밝혀질 것이고, 국민은 충격을 받을 것""이라고 말하기도 했다. 또한 특검의 드루킹 사건 수사가 시작되기 전까지는 경찰 수사가 중단없이 진행돼야 한다고 강조했다. 안 후보는 ""'특검 수사가 시작될 때까지 지켜보자'는 움직임이 있는데, 이는 지방선거에서 이기고 나면 (드루킹 사건이) 흐지부지될 것으로 생각해 정치적 술수를 부리는 것""이라고 주장했다. 그는 ""드루킹 사건은 추악한 여론조작으로 국민을 기만해 권력을 잡고, 그 과정에 공을 세운 사람들이 핵심 요직을 차지한 사건""이라며 ""유야무야 덮이면 드루킹만 감옥에 갇히고 조종한 사람들은 권좌에서 활개를 칠 것""이라고 밝혔다.  ? ",
정치,"한국, '드루킹 특검' 지연 맹공…""정부 꼼수·선거개입""","자유한국당은 22일 정부가 드루킹 특검법 공포안을 다음 주 국무회의에서 의결하기로 한 데 대해 ""특검을 의도적으로 지연하려는 꼼수""라고 강하게 비판했다. 정부는 전날 밤 임시 국무회의를 개최, 추가경정예산 배정안만 의결했을 뿐 특검법 문제는 다루지 않았다. 홍준표 대표는 조계사에서 기자들과 만나 ""(특검법 공포안 처리를 미룬 것은) 공소시효를 넘겨서 관련자 처벌을 피하려는 아주 악랄한 술책이자 유치한 술법""이라고 밝혔다. 나아가 홍 대표는 더불어민주당 김경수 경남지사 후보와 송인배 청와대 제1부속비서관 말고도 또 다른 핵심 인사가 드루킹 사건에 연관돼 있을 것이라는 의혹을 제기하기도 했다.?김성태 원내대표는 연합뉴스와 통화에서 ""특검법만 국무회의에 상정하지 않은 것은 이 정권이 드루킹 특검을 얼마나 하기 싫은지, 얼마나 억지로 하는 것인지를 여실히 보여주는 것""이라고 가세했다.김 원내대표는 나아가 ""(국무회의에서의) 특검법 처리가 8일이나 지연되는 것은 있을 수 없는 일""이라며 ""앞으로 이 문제를 크게 다룰 수밖에 없다""며 대대적인 공세를 예고했다. 한국당은 또 '법률 공포안의 경우 소관부처 의견청취 등을 거쳐 국무회의에 상정해야 한다'는 정부의 공식 설명도 일축했다. 장제원 수석대변인은 논평에서 ""정부가 특검 임명을 지방선거 이후로 늦춰 (특검 수사를) 훼방 놓으려는 비겁하고 구차한 변명일 뿐""이라며 ""문재인 정부가 어떻게든 지방선거에 개입해 정권의 이득을 챙기려는 저급한 정치의식의 민낯을 보여줬다""고 말했다.이어 장 수석대변인은 ""드루킹 게이트에 대통령의 문고리 권력 송인배 비서관 등 대통령 핵심 최측근들이 줄줄이 연루된 만큼 하루빨리 의혹을 낱낱이 밝혀야 한다""고 주장했다.바른미래당도 불필요한 오해를 사지 않으려면 하루빨리 특검법 공포안을 처리해 진실 규명에 앞장서야 한다고 촉구했다.신용현 수석대변인은 논평에서 ""늦은 밤 임시 국무회의까지 열어 정부가 원하는 추경은 처리하고 특검법은 미룬 진위가 의심스럽다""며 ""소관부처 의견을 받는 즉시 낮이든 밤이든 한시라도 빨리 국무회의를 열라""고 요구했다. ? ",
정치,"김경수 “고 구본무 LG회장, 노 전 대통령 잊지 않고 약밤나무 보내와”","더불어민주당 김경수 경남지사 후보가 22일 고 구본무 LG그룹 회장과 고 노무현 전 대통령과 얽힌 약밤나무 사연을 공개했다. 노 전 대통령이 생전 좋아했던 약밤나무를 기억하고 서거 후 봉하로 보낸 것이다.김 후보는 이날 자신의 페이스북을 통해 “마음이 깊고 상대를 배려할 줄 아는 속 깊은 분이었다”며 구 회장을 추모했다. 김 후보가 기억하는 약밤나무 사연은 이렇다. 2007년 노무현 대통령이 남북정상회담을 위해 평양을 방문했을 때다. 당시 노 대통령은 대기업 회장들이 참석한 자리에서 약밤을 먹으며 회장들에게 “참 맛있다. 다들 먹어보라”고 권유했다.이를 지켜보던 구 회장은 노 전 대통령이 서거 한 후 사람을 보내 봉하에 선물을 보냈다. 약밤나무 묘목이었다. 김 후보는 “구 회장이 남북정상회담 후 북측에 약밤나무를 얻기 위해 백방으로 애를 썼던 모양”이라며 “그렇게 어렵게 구해서는 당신의 농장에서 묘목으로 키웠다고 한다. (노 전) 대통령이 돌아가시고 나서도 손에서 놓지 않고 묘목을 키워 봉하마을로 보내준 것”이라고 설명했다.김 후보는 이어 “당시 봉하와 가깝다는 이유만으로도 피박 받던 시절이라 회장님의 특별한 배려를 제대로 알리지도 못했다”며 “존경받는 재계의 거목이셨고, 제게는 그 일로 너무 고맙고 특별한 어른으로 기억되는 분”이라고 구 회장을 추모했다.김달중 기자 dal@segye.com",
정치,"김경수, 구본무 회장 발인식 맞아 '봉하마을 약밤나무' 사연 공개 ""속깊은 분""","김경수 더불어민주당 경남지사 후보는 22일 발인식이 거행된 고(故) 구본무 LG그룹 회장과 봉하마을 약밤나무에 얽힌 사연을 공개하고 명복을 빌었다.고인과 동향(경남 진주)이기도 한 김 후보는 이날 페이스북에 “멀리서 삼가 조의를 표한다”며 “마음이 깊고 상대를 배려할 줄 아는 속깊은 분이였다”고 고인을 높이 평가했다.이어 “우리 진주 분이기도해서 더 그렇지만, 저는 회장님을 특별하게 기억한다”며 일화 소개를 시작했다.김 후보에 따르면 2007년 당시 노무현 대통령과 함께 평양 남북 정상회담 갔을 때 대기업 회장들이 참석한 자리에서 노 대통령은 북측이 제공한 약밤을 먹으면서 ’자그마한 밤이 참 맛있다’며 주위에도 먹어보라고 권했다.김 후보는 이후 2009년 노 전 대통령 서거 후 봉하마을을 지키고 있을 때까지 약밤을 잊고 있었다고 전했다.나아가 “구본무 회장이 사람을 보내 봉하에 뭘 보내겠다고 연락을 줬다”며 ”며칠 뒤 북에서 대통령이 드셨던 바로 그 약밤나무 묘목이 봉하로 왔다”고 당시를 떠올렸다.그러면서 “구 회장은 남북 정상회담 후 북측에서 약밤나무를 얻기 위해 백방으로 애를 썼던 모양”이라며 ”그렇게 어렵게 구해서는 당신의 농장에서 묘목으로 키웠다고 한다. 대통령이 돌아가시고 나서도 손에서 놓지 않고 묘목을 키워 봉하마을로 보내주신 것”이라고 전했다.김 후보는 “(노 전 대통령) 사저 근처에 그 사연 많은 나무를 심었다”며 “그리고 몇해 전 대통령 묘역 주변에 조성된 추모공원으로 3그루를 옮겨 심었다고 한다”고 밝혔다.또 ""당시는 봉하와 가깝다는 이유만으로도 핍박받던 시절이라 구 회장의 특별한 배려를 제대로 알리지도 못했다”며 “존경받는 재계의 거목이었고 제게는 그 일로 너무 고맙고 특별한 어른으로 기억되는 분”이라고 다시 한번 고마움을 표했다.아울러 “이제 가신다 하니 그 인연이라도 이렇게 기록해두고 싶었다”며 “대통령을 대신해 고향 후배가 머리 숙여 인사드린다”고 사연을 공개한 이유를 밝혔다.김 후보는 마지막으로 “회장님, 고맙습니다”라며 “부디 편안히 잠드소서”라고 명복을 기원했다.한편 이날 오전 서울 종로구 연건동 서울대병원 장례식장에서는 고인의 마지막 길을 배웅하는 발인식이 조용하고 차분한 분위기 속에서 치러졌다.박태훈 기자 buckbak@segye.com사진=김경수 더불어민주당 경남지수 후보 페이스북 캡처",
정치,"홍준표 ""공소시효 넘기려 국무회의서 '드루킹 특검' 쏙 빼버려""","22일 조계사에서 열린 부처님오신말 봉축법요식에 참석한 한국당 홍준표 대표와 중앙선대위 배현진 대변인이 이야기를 나누고 있다. 뉴시스 자유한국당 홍준표 자유한국당 정부가 지난 21일 국무회의에서 '드루킹특검'을 처리하지 않은 것데 대해 ""공소시효를 넘겨 관련자들 처벌을 피하려는 아주 악랄한 술책이다""고 맹비난했다.정부는 21일 국무회의에서 국회가 의결한 특검, 추가경정예산 중 추경만 의결했다.22일 홍 대표는 서울 조계사에서 열린 부처님오신날 봉축법요식에 참석한 뒤 기자들과 만난 자리에서 ""그렇다고 해서 국민들이 모르겠나. 다 알고 있다. 어떻게 그런 짓을 하냐""며 이같이 말했다.홍 대표는 ""드루킹 관련자들이 김경수 경남도지사 후보와 송인배 청와대 제1부속관 말고 또 있을 것""이라며 ""그 사람들의 공소시효를 피하려는 아주 유치한 수법인데 옳지 않다""고 꼬집었다.홍 대표는 6월 13일로 예정된 북미정상회담 전망에 대해 ""북미정상회담은 열리겠지만 미국이 얼마나 양보하는지에 달렸다""며 ""도널드 트럼프 미국 대통령이 미국 국민뿐 아니라 한국 국민들에게 환상을 너무 많이 심어줬다. 어떻게 주워담을 수 있겠냐""고 우려했다.이어 ""북한은 그런 식으론 절대 합의하지 않을 것""이라며 ""핵을 폐기하는 순간 김정은 체제가 무너지는데 폐기하겠다? 그걸 믿는 국민들이 바보""라고 지적했다.홍 대표는 ""11월 중간선거를 앞둔 미국이 ICBM(대륙간탄도미사일) 개발 중단 등 미국만 안전한 협상을 할 수 있다""며 ""그렇게 돼버리면 5000만 국민은 핵을 버리에 이고 사는 한반도 재앙이 온다""고 강조했다.그러면서 ""비난을 감수하고서라도 남북관계 현실을 이야기해주는 것이 이 정부가 북핵 협상을 하는 데 도움이 된다""며 ""앉아서 장밋빛 환상에 빠져있다가 나중에 환상이 깨지면 누가 책임지냐. 언론에서도 균형감을 갖고 국민에게 알려달라""고 요구했다.박태훈 기자 buckbak@segye.com",
정치,"김경수 ""故구본무 회장, 핍박받던 시절 봉하로 선물 보내""","더불어민주당 김경수 경남지사 후보는 22일 고(故) 구본무 LG그룹 회장과의 특별한 인연을 소개하며 그의 명복을 빌었다. 김 후보는 페이스북을 통해 ""2007년 노무현 대통령님을 모시고 평양 남북정상회담을 갔을 때 대기업 회장들이 참석한 자리에서 노 대통령님께서 북측이 제공한 '약밤'을 드시며 참 맛있다고 권했다""고 회고했다.그러면서 ""2009년 대통령님이 서거하신 뒤 봉하마을을 지키고 있을 때 구본무 회장께서 사람을 보내 약밤나무 묘목을 보냈다""며 ""구 회장님은 남북정상회담 후 북측에 약밤나무를 얻기 위해 백방으로 애썼던 모양""이라고 말했다.그는 ""어렵게 구한 묘목을 당신 농장에서 키우셨다고 한다. 대통령님이 돌아가시고 나서도 묘목을 키워 봉하마을로 보내주신 것""이라며 ""당시는 봉하와 가깝다는 이유만으로 핍박받던 시절이라 회장님의 특별한 배려를 제대로 알리지도 못했다""고 덧붙였다. 김 후보는 ""존경받는 재계의 거목이셨고 제게는 그 일로 너무 고맙고 특별한 어른으로 기억되는 분""이라며 ""대통령님을 대신해 고향 후배가 머리 숙여 인사드린다. 부디 편안히 잠드소서""라고 밝혔다.  ? ",
정치,나경원 비서 폭언 논란…청와대 국민청원에도 올라,"자유한국당 나경원 의원의 비서 박모 씨가 한 중학생과의 전화통화에서 막말과 폭언을 한 사실이 녹취록과 함께 온라인상에 알려져 22일 논란이 일고 있다.유튜브 '서울의 소리' 계정에는 전날 박 씨로 추정되는 남성과 한 중학생의 통화 내용을 담은 녹취록이 올라왔다. 녹취록 속 남성은 고(故) 노무현 전 대통령을 원색적으로 비난하는가 하면 중학생으로 알려진 통화 상대에게 협박성 발언과 욕설을 쏟아냈다. 청와대 국민청원 게시판에도 '나경원 비서 박00이 중학생을 상대로 벌인 막말을 가만둘 수 없습니다'라는 제목의 글을 비롯해 이번 폭언 논란과 관련한 청원 글이 여러 건 올라왔다. 이런 사실이 알려지며 논란이 되자 박씨는 페이스북에 ""30대 중반이 넘은 어른으로 중학생에게 차마 하지 말아야 할 행동을 한 제 잘못을 깊게 뉘우치고 반성하겠다""며 ""거듭 죄송하다는 말을 드린다""고 밝혔다. 나 의원도 페이스북을 통해 ""의원실 소속 비서의 적절치 못한 언행으로 인해 피해를 본 당사자분들에게 진심으로 사과드린다""며 ""전적으로 직원을 제대로 교육하지 못한 저의 불찰""이라고 말했다.이어 ""해당 직원은 본인의 행동에 대해 깊이 뉘우치고 있으며 이에 대한 책임을 지고 사직서를 제출했다""고 덧붙였다. ? ",
정치,"정의용 ""북미 정상회담 99.9% 성사, 만일을 대비해 北 입장서 이해하려 노력""","22일 오전(한국시간) 워싱턴에 도착한 문재인 대통령. 그 뒤로 강경화 외무장관, 정의용 안보실장, 장하성 정책실장 등의 모습이 보인다. 워싱턴=연합뉴스 정의용 청와대 국가안보실장은 ""북미정상회담은 지금 99.9% 성사된 것으로 본다""면서도 "" 여러 가능성이 있을 수 있어 북한 입장에서 상황을 이해하려 노력하고 있다""고 최근 상황을 평가했다. 22일(현지시간) 워싱턴 한미정상회담을 위해 미국을 방문 중인 문재인 대통령을 수행 중인 정 실장은 대통령 전용기에서 기자들과 만나 이같이 말한 뒤 ""한미 정상회담은 만남이 목적이 아니라 그 이후 상황을 어떻게 잘 이끌어 갈 것이냐에 대한 정상 차원의 솔직한 의견 교환이 주목적""이라고 설명했다.이어 ""그래서 정상회담 진행 방식도 과거와는 달리 딱 두 정상 간 만남을 위주로 하기로 했다""며 ""수행원들이 배석하는 오찬 모임이 있지만 두 정상이 충분한 시간을 갖고 솔직한 의견을 교환하는 식의 모임을 하자고 한미 간 양해가 돼 있다""고 했다. 정 실장은 ""따라서 수행하는 저희도 두 분이 무슨 말씀을 어떻게 하실지 예측을 전혀 못 하는 상황이며, 바로 그것이 이번 정상회담의 가장 큰 장점이기도 한 것 같다""고 강조했다. 정 실장은 4번째가 되는 이번 한미정상회담의 의제에 대해 ""6·12 북미정상회담을 어떻게 성공적으로 성사시키고 중요한 합의를 이룰 수 있게 할지, 그 합의를 어떻게 잘 이행할 것인가에 대한 허심탄회한 논의가 있을 것""이라며 ""두 정상이 그 두 가지 목표 지점까지 갈 수 있느냐에 대한 여러 아이디어를 공유하는 것으로 기대한다""고 했다.그러면서 ""대개 정상회담은 사전에 많은 조율이 있고 합의문도 사전조율이 끝나는 게 관행이지만 이번은 그런 게 일절 없이 두 가지 토픽만 갖고 만난다""고 했다.정 실장은 최근 북한이 한국과 미국을 동시에 싸잡아 비난하고 나선 상황과 관련해선 ""북한이 우리가 원하는 방향으로 나오도록 어떻게 협력하고 어떤 것을 어떻게 해줘야 하는지 다양한 논의가 실무 차원에서 있었고, 이번에 정상 차원에서 좋은 얘기가 많이 있을 것으로 기대한다""라는 말로 북한측 입장을 감안한 한미간 조율이 있을 것임을 시사했다. 정 실장은 지난 20일 한미정상 통화에서 '문 대통령의 설명과 북한의 태도가 왜 다르냐'는 취지로 트럼프 대통령이 언급했다는 뉴욕타임스(NYT) 보도에 대해선 ""제가 정상 통화에 배석했지만 그런 내용은 전혀 없었다""고 부인했다.NYT가 '트럼프 대통령이 북미정상회담을 꼭 해야 하는지 참모들에게 물었다'고 한 것에 대해서도 ""저희가 NSC에서 협의하는 과정이나 한미정상 간 통화 분위기에서 그런 느낌은 전혀 없었다""고 역시 부인했다. 박태훈 기자 buckbak@segye.com",
정치,중학생에게 욕설한 나경원 의원 비서에 대한 처벌 요구하는 청와대 국민청원 '봇물',"중학생과 전화 통화에서 막말과 폭언을 일삼은 나경원 자유한국당 의원의 비서 박모씨를 처벌해달라는 요구(사진)가 청와대 국민청원 게시판에 연이어 오르고 있다.22일 청와대 게시판에는 ‘나경원 비서 박OO이 중학생을 상대로 벌인 막말을 가만둘 수 없습니다’라는 제목의 청원글을 비롯한 이번 폭언 논란과 관련한 글이 여러 건 올라왔다.전날 유튜브 ‘서울의 소리’ 계정에 박씨로 추정되는 남성과 한 중학생의 통화 내용을 담은 녹취록이 올라와 삽시간에 전파됐다.녹취록 속 남성은 고(故) 노무현 전 대통령을 원색적으로 비난하는가 하면 상대에게 협박성 발언과 욕설을 쏟아냈다.?이런 사실이 알려지며 논란이 되자 박씨는 페이스북에 “30대 중반이 넘은 어른으로 중학생에게 차마 하지 말아야 할 행동을 한 제 잘못을 깊게 뉘우치고 반성하겠다”며 ”거듭 죄송하다는 말을 드린다”고 사과했다.나 의원도 페이스북을 통해 “의원실 소속 비서의 적절치 못한 언행으로 인해 피해를 본 당사자분들에게 진심으로 사과드린다”며 “전적으로 직원을 제대로 교육하지 못한 저의 불찰”이라고 고개를 숙였다.이어 “해당 직원은 본인의 행동에 대해 깊이 뉘우치고 있으며 이에 대한 책임을 지고 사직서를 제출했다”고 덧붙였다.박태훈 기자 buckbak@segye.com사진=청와대 국민청원 게시판, 나경원 의원 페이스북 캡처",
정치,"민주, ‘방탄국회’ 비판에 릴레이 반성문…“오만해진 것 아닌지”","자유한국당 홍문종(왼쪽), 염동열 의원이 21일 여의도 국회에서 열린 본회의에서 자신들의 체포동의안에 대한 표결이 시작되기 전 대화를 나누고 있다. 뉴시스더불어민주당이 21일 자유한국당 홍문종·염동열 의원에 대한 체포동의안이 부결된 것에 대해 거듭 머리를 조아렸다. 국회의원의 불체포특권이 그간 여야 가릴 것 없이 정쟁의 도구로 사용됐다는 국민적 지탄을 받아온 만큼, 원내 제1당이자 집권여당으로서 ‘제 식구 감싸기’ ‘방탄국회’ 비판에 대한 부담감이 더 크게 작용한 탓이다. 민주당 의원들은 이날 저마다 사회관계망서비스(SNS)를 통해 사죄의 뜻을 밝혔다. 재선 이학영(경기 군포을) 의원은 “머리를 들 수가 없다. 두 체포동의안 부결, 너무 죄송합니다”라고, 초선 권칠승(경기 화성병) 의원은 “민주당 내에서도 반대표가 확실히 나왔다. 민주당 의원으로서 죄송하다는 말 이외에 달리 드릴 말씀이 없다”고 적었다. 3선의 노웅래(서울 마포갑) 의원은 “국회가 국민의 법 감정과 눈높이를 따라가지 못했다”라며 “이제 여당이 됐다고 자칫 오만해진 것은 아닌지 스스로를 돌아보겠다”고 다짐했다. 4선인 송영길 의원(인천 계양을)은 “참담한 결과! 국회 권력교체가 절실하네요!”라고 덧붙였다.더불어민주당 의원들이 21일 여의도 국회에서 열린 본회의에서 자유한국당 홍문종, 염동열 의원의 체포동의안이 부결된 데 대해 SNS에 글을 올려 사과의 뜻을 밝히고 있다. 온라인 캡쳐당 일각에서는 이참에 불체포특권을 폐지하자는 주장도 나왔다. 초선인 표창원(경기 용인정) 의원은 체포동의안 부결 원인으로 “야당 연합의 힘, 동료 감싸기, ‘다음엔 당신이 대상자’라는 한국당 의원들의 겁주기 의사진행발언과 신상발언이 주효했다”라며 “과거 독재정권의 정치탄압을 막기 위해 필요했던 불체포특권의 폐지가 필요하다”고 강조했다.더불어민주당 홍영표 원내대표가 21일 여의도 국회 정론관에서 자유한국당 홍문종, 염동열 의원의 체포동의안이 본회의에서 부결된 뒤 대국민 사과 기자회견을 열어 취재진의 질문에 답하고 있다. 뉴시스민주당 홍영표 원내대표는 이날 국회 본회의 직후 기자회견을 자청해 “어떠한 변명의 여지도 없다”며 사과했다. 그는 “특권과 반칙 없는 사회를 이끌어야 할 국회가 체포동의안을 부결한 것은 자가당착”이라며 “특히 민주당 내에서 일부 이탈표가 나온 것에 대해 원내대표로서 책임을 통감한다”고 밝혔다. 홍 원내대표는 “민주당 내에서 20표 이상 이탈표가 있었다”고 분석하면서도 “의원들의 합리적 판단을 믿어 의원총회 전에 권고적 가결 당론으로 결정까지 했다”고 해명했다. 원내수석부대표인 진선미 의원도 “철저히 반성하고 대처해 나가겠다”고 말했다.한국당, 바른미래당, 민주평화당 등은 이날 본회의 직후 논평을 통해 체포동의안 부결을 긍정 평가하거나 침묵을 지켰다. 반면 ‘원내 유일 진보정당’을 표방하는 정의당은 “보수 야당의 추악한 동료 감싸기”라며 강하게 비판했다.정의당 추혜선 수석대변인. 뉴스1정의당 추혜선 수석대변인은 “앞에선 날을 세우고 싸우는 여야 의원들이 뒤에선 동료애를 발휘해 서로 감싸주고 있다는 사실이 적나라하게 드러났다”고, 김종대 원내대변인은 “20대 국회가 여전히 촛불 이전의 시절에 멈춰있다. 이런 식이면 다시 촛불을 들고 당장 국회를 해산하라고 해도 할 말이 없다”고 맹비난했다. 심상정 전 대표는 페이스북에 글을 올려 “이걸 어떻게 해석해야 합니까? ‘국회 해산하라’는 국민들의 분노에 뭐라고 답할 겁니까?”라고 반문했다.이날 무기명 투표로 실시된 홍 의원 체포동의안은 재석 의원 275명 가운데 찬성 129표, 반대 141표, 기권 2표, 무효 3표로, 염 의원 체포동의안은 찬성 98표, 반대 172표, 기권 1표, 무효 4표로 각각 부결됐다. 홍 의원은 사학재단을 통한 뇌물 수수, 염 의원은 강원랜드 채용 비리 의혹 등으로 각각 구속영장이 청구된 바 있다.이동수 기자 samenumber@segye.com",
정치,"나경원, 비서 폭언 논란에 ""제대로 교육하지 못 한 제 불찰…해당 비서 사직서 제출""","나경원 자유한국당 의원이 비서관의 폭언 논란에 대해 사과했다.21일 오후 나의원은 페이스북에 글을 올려 이같이 밝혔다. 소속 비서관이 폭언 논란에 휘말린 것과 관련해 ""전적으로 직원을 제대로 교육하지 못한 제 불찰""이라고 사과했다.그는 ""금일 의원실 소속 비서의 적절치 못한 언행으로 인해 피해를 입은 당사자 분들에게 진심으로 사과드린다""며 ""또한 많은 분들에게 실망을 안겨드리게 돼 송구스럽게 생각한다""고 고개를 숙였다.이어 ""이 직원은 본인의 행동에 대해 깊이 뉘우치고 있으며 이에 대한 책임을 지고 사직서를 제출했다""고도 알렸다.한편 온라인 매체 '서울의 소리'에 따르면 나 의원실 소속 비서관 A씨는 모 중학교 학생과 언쟁을 벌였다. 이 과정에서 욕설은 물론 노무현 전 대통령을 비하하는 발언을 해 논란이 됐다.뉴스팀 ace2@segye.com사진=나경원 페이스북 캡처",
